caso,alpha,origen,destino,distancia_base_m,distancia_alternativa_m,incremento_distancia_pct,ier_base,ier_alternativo,reduccion_ier_pct,ruta_cambio
5,3.0,13638963688,11083496389,14863.15070056967,14933.162642600877,0.47104374732959003,0.3000516275380722,0.2887653270563642,3.761452845402717,True
6,3.0,199799388,11861796818,9306.951026079172,9310.568423559756,0.0388676965254022,0.15524802829554082,0.15504239873133838,0.13245228713049864,True
7,3.0,6034897129,92595950,5690.2062392180405,5695.394771465989,0.0911835534569553,0.2203418505182512,0.21972974546023352,0.2777979110994959,True
8,3.0,89573830,206105981,9275.662768958206,10215.536478796308,10.132685213432616,0.37338319761254124,0.23376674432647002,37.39226997325971,True
9,3.0,1015323414,1383156053,10382.064196327145,10411.362960580751,0.2822055778076517,0.1941329759430264,0.19196869493724633,1.1148446034306032,True
10,3.0,8638574824,12079521367,15789.050860818292,16661.727098446172,5.527097514097515,0.24417109341905224,0.1877218379737674,23.11872984424298,True
11,3.0,89318596,11462899302,15675.971942763943,15676.101044837773,0.0008235666298798169,0.19292775897030573,0.19287199092484533,0.028906180094581683,True
12,3.0,471112549,12916778952,9450.524154291856,9545.695159835483,1.0070447309571295,0.16791814153103998,0.15796854283618747,5.925267278528873,True
13,3.0,11047216026,6034896758,6261.858246698843,6283.678567079481,0.3484639785983855,0.21759945524748048,0.20299027649912704,6.713793806026815,True
14,3.0,1067030423,6685636158,2010.5764457002997,2010.5764457002997,0.0,0.2910397119169709,0.2910397119169709,0.0,False
15,3.0,11851497880,2426029187,1258.4295950341655,1258.4295950341655,0.0,0.3596380731248534,0.3596380731248534,0.0,False
16,3.0,81917860,243462091,12974.550119034831,13430.376560092043,3.51323503994542,0.24104212321786705,0.21393268236388824,11.24676487747157,True
17,3.0,6034979261,4072735918,2641.5831093251245,2721.045734942999,3.008144068508057,0.3279695417927774,0.2855532772170613,12.932988942770834,True
18,3.0,2418484955,241968643,14973.401885536718,15011.632539094038,0.2553237657652727,0.26156557476053044,0.2536479549326347,3.0270114234812855,True
19,3.0,886393813,3846153504,6960.636511511439,7195.951171230139,3.3806485847887515,0.2894745579466468,0.20232518725706727,30.106055367270674,True
20,3.0,206119285,205501570,4251.3130513330325,4335.298261131044,1.9755122425453198,0.31094578159038544,0.2886892105576136,7.157701551356252,True
21,3.0,4525551515,206109370,14020.722700095603,15496.885022467377,10.528432477747447,0.382445448780658,0.207744363574,45.68000109915112,True
22,3.0,4456597250,4322661441,10021.017343144165,10087.54502186576,0.6638814847188136,0.20794323032464201,0.202012940712771,2.851879141539066,True
23,3.0,12079633066,2153010956,11142.59536955801,11142.59536955801,0.0,0.30907375868602116,0.30907375868602116,0.0,False
24,3.0,190996837,7337715737,6799.045367168021,6799.045367168021,0.0,0.06709570471134325,0.06709570471134325,0.0,False
25,3.0,10681923737,218308131,535.2404574004254,535.2404574004254,0.0,0.1739728134658946,0.1739728134658946,0.0,False
26,3.0,4524178066,199651466,12390.298757403689,12425.943604764501,0.2876835180387664,0.20021113492940054,0.19696739869544938,1.6201577575068358,True
27,3.0,11267813276,2973570883,11092.341239912548,11926.308965483664,7.518410293494457,0.18626532961621972,0.1471912039153528,20.97766974743775,True
28,3.0,12324595302,12244768073,3423.1162055447235,3423.1162055447235,0.0,0.11767705593239339,0.11767705593239339,0.0,False
